fastq_file	description
fastq/G186V_rep1_P0_R1.fastq	G186V_replicate1_Passage0
fastq/G186V_rep1_P1_R1.fastq	G186V_replicate1_Passage1
fastq/G186V_rep1_P2_R1.fastq	G186V_replicate1_Passage2
fastq/G186V_rep1_P3_R1.fastq	G186V_replicate1_Passage3
fastq/G186V_rep1_P4_R1.fastq	G186V_replicate1_Passage4
fastq/G186V_rep1_P5_R1.fastq	G186V_replicate1_Passage5
fastq/G186V_rep2_P0_R1.fastq	G186V_replicate2_Passage0
fastq/G186V_rep2_P1_R1.fastq	G186V_replicate2_Passage1
fastq/G186V_rep2_P2_R1.fastq	G186V_replicate2_Passage2
fastq/G186V_rep2_P3_R1.fastq	G186V_replicate2_Passage3
fastq/G186V_rep2_P4_R1.fastq	G186V_replicate2_Passage4
fastq/G186V_rep2_P5_R1.fastq	G186V_replicate2_Passage5
fastq/G186V_rep3_P0_R1.fastq	G186V_replicate3_Passage0
fastq/G186V_rep3_P1_R1.fastq	G186V_replicate3_Passage1
fastq/G186V_rep3_P2_R1.fastq	G186V_replicate3_Passage2
fastq/G186V_rep3_P3_R1.fastq	G186V_replicate3_Passage3
fastq/G186V_rep3_P4_R1.fastq	G186V_replicate3_Passage4
fastq/G186V_rep3_P5_R1.fastq	G186V_replicate3_Passage5
fastq/L194P_rep1_P0_R1.fastq	L194P_replicate1_Passage0
fastq/L194P_rep1_P1_R1.fastq	L194P_replicate1_Passage1
fastq/L194P_rep1_P2_R1.fastq	L194P_replicate1_Passage2
fastq/L194P_rep1_P3_R1.fastq	L194P_replicate1_Passage3
fastq/L194P_rep1_P4_R1.fastq	L194P_replicate1_Passage4
fastq/L194P_rep1_P5_R1.fastq	L194P_replicate1_Passage5
